extension,mimeType
ipk,application/vnd.shana.informed.package
irm,application/vnd.ibm.rights-management
irp,application/vnd.irepository.package+xml
itp,application/vnd.shana.informed.formtemplate
ivp,application/vnd.immervision-ivp
ivu,application/vnd.immervision-ivu
jad,text/vnd.sun.j2me.app-descriptor
jam,application/vnd.jam
jar,application/java-archive
java,text/x-java-source
jisp,application/vnd.jisp
jlt,application/vnd.hp-jlyt
jnlp,application/x-java-jnlp-file
joda,application/vnd.joost.joda-archive
jpe,image/jpeg
jpeg,image/jpeg
jpg,image/jpeg
jpgm,video/jpm
jpgv,video/jpeg
jpm,video/jpm
js,application/javascript
json,application/json
kar,audio/midi
karbon,application/vnd.kde.karbon
kfo,application/vnd.kde.kformula
kia,application/vnd.kidspiration
kml,application/vnd.google-earth.kml+xml
kmz,application/vnd.google-earth.kmz
kne,application/vnd.kinar
knp,application/vnd.kinar
kon,application/vnd.kde.kontour
kpr,application/vnd.kde.kpresenter
kpt,application/vnd.kde.kpresenter
ksp,application/vnd.kde.kspread
ktr,application/vnd.kahootz
ktz,application/vnd.kahootz
kwd,application/vnd.kde.kword
kwt,application/vnd.kde.kword
latex,application/x-latex
list,text/plain
log,text/plain
log,text/x-log
lostxml,application/lost+xml
lrm,application/vnd.ms-lrm
ltf,application/vnd.frogans.ltf
lvp,audio/vnd.lucent.voice
lwp,application/vnd.lotus-wordpro
m1v,video/mpeg
m2v,video/mpeg
m3a,video/mpeg
m3u,audio/x-mpegurl
m3u8,application/vnd.apple.mpegurl
m4a,video/mp4
m4p,video/mp4
m4u,video/vnd.mpegurl
m4v,video/x-m4v
ma,application/mathematica
mag,application/vnd.ecowin.chart
mathml,application/mathml+xml
mb,application/mathematica
mbk,application/vnd.mobius.mbk
mbox,application/mbox
mc1,application/vnd.medcalcdata
mcd,application/vnd.mcd
mcurl,text/vnd.curl.mcurl
mdb,application/x-msaccess
mdi,image/vnd.ms-modi
mfm,application/vnd.mfmp
mgz,application/vnd.proteus.magazine
mid,audio/midi
midi,audio/midi
mif,application/vnd.mif
mj2,video/mj2
mjp2,video/mj2
mlp,application/vnd.dolby.mlp
mmd,application/vnd.chipnuts.karaoke-mmd
mmf,application/vnd.smaf
mmr,image/vnd.fujixerox.edmics-mmr
mny,application/x-msmoney
mobi,application/x-mobipocket-ebook
moov,video/quicktime
mov,video/quicktime
movie,video/x-sgi-movie
mp2,video/mpeg
mp2a,video/mpeg
mp3,audio/mpeg3
mp4,video/mp4
mp4a,audio/mp4
mp4s,application/mp4
mp4v,video/mp4
mpc,application/vnd.mophun.certificate
mpe,video/mpeg
mpeg,video/mpeg
mpg,video/mpeg
mpg4,video/mp4
mpga,video/mpeg
mpkg,application/vnd.apple.installer+xml
mpm,application/vnd.blueice.multipass
mpn,application/vnd.mophun.application
mpy,application/vnd.ibm.minipay
mqy,application/vnd.mobius.mqy
mrc,application/marc
mscml,application/mediaservercontrol+xml
mseed,application/vnd.fdsn.mseed
mseq,application/vnd.mseq
msf,application/vnd.epson.msf
msl,application/vnd.mobius.msl
msty,application/vnd.muvee.style
mts,model/vnd.mts
mus,application/vnd.musician
musicxml,application/vnd.recordare.musicxml+xml
mwf,application/vnd.mfer
mxf,application/mxf
mxl,application/vnd.recordare.musicxml
mxml,application/xv+xml
mxs,application/vnd.triscape.mxs
mxu,video/vnd.mpegurl
n-gage,application/vnd.nokia.n-gage.symbian.install
nb,application/mathematica
nbp,application/vnd.wolfram.player
nc,application/x-netcdf
ncx,application/x-dtbncx+xml
ngdat,application/vnd.nokia.n-gage.data
nlu,application/vnd.neurolanguage.nlu
nml,application/vnd.enliven
nnd,application/vnd.noblenet-directory
nns,application/vnd.noblenet-sealer
nnw,application/vnd.noblenet-web
npx,image/vnd.net-fpx
nsf,application/vnd.lotus-notes
oa2,application/vnd.fujitsu.oasys2
